algo,dv,dc,nv,nc,code_id,p_phys,p_mask,no_test,no_success,no_stop,p_log,p_error,p_std_dev
290,5,6,84,70,swap3_f8b7dcce,0.001,0.3,3029,2728,301.0,0.9006272697259822,0.09937273027401783,0.005435713030309113
300,5,6,84,70,swap3_f8b7dcce,0.001,0.3,3027,2698,329.0,0.8913115295672283,0.10868847043277174,0.005657183815067493
310,5,6,84,70,swap3_f8b7dcce,0.001,0.3,2462,2183,279.0,0.8866774979691308,0.11332250203086924,0.006388470542706889
320,5,6,84,70,swap3_f8b7dcce,0.001,0.3,2461,2194,267.0,0.8915075172694027,0.1084924827305973,0.006269119116654319
330,5,6,84,70,swap3_f8b7dcce,0.001,0.3,2459,2162,297.0,0.879219194794632,0.12078080520536805,0.006571556956875495
340,5,6,84,70,swap3_f8b7dcce,0.001,0.3,2456,2152,304.0,0.8762214983713354,0.12377850162866455,0.006645312084838235
350,5,6,84,70,swap3_f8b7dcce,0.001,0.3,2455,2128,327.0,0.8668024439918534,0.13319755600814664,0.006857762547766524
360,5,6,84,70,swap3_f8b7dcce,0.001,0.3,2455,2152,303.0,0.8765784114052954,0.12342158859470465,0.006638427293427861
370,5,6,84,70,swap3_f8b7dcce,0.001,0.3,2454,2118,336.0,0.863080684596577,0.13691931540342295,0.006939381740299657
380,5,6,84,70,swap3_f8b7dcce,0.001,0.3,2454,2106,348.0,0.8581907090464548,0.14180929095354522,0.007042177506953725
390,5,6,84,70,swap3_f8b7dcce,0.001,0.3,2454,2097,357.0,0.8545232273838631,0.1454767726161369,0.007117401830754517
400,5,6,84,70,swap3_f8b7dcce,0.001,0.3,2450,2062,388.0,0.8416326530612245,0.15836734693877552,0.007375832858191622
510,5,6,84,70,swap3_f8b7dcce,0.001,0.3,1422,1158,264.0,0.8143459915611815,0.18565400843881852,0.010311143917211465
610,5,6,84,70,swap3_f8b7dcce,0.001,0.3,1421,1059,362.0,0.745249824067558,0.254750175932442,0.011558757393445418
710,5,6,84,70,swap3_f8b7dcce,0.001,0.3,1416,971,445.0,0.6857344632768362,0.3142655367231638,0.012336578892835013
810,5,6,84,70,swap3_f8b7dcce,0.001,0.3,1416,898,518.0,0.634180790960452,0.365819209039548,0.012799946905158559
910,5,6,84,70,swap3_f8b7dcce,0.001,0.3,1416,898,518.0,0.634180790960452,0.365819209039548,0.012799946905158559
1000,5,6,84,70,swap3_f8b7dcce,0.001,0.3,5777,3450,2327.0,0.5971957763545093,0.40280422364549073,0.00645288889978695
0,5,6,84,70,swap3_f8b7dcce,0.001,0.4,7310,7310,0.0,1.0,0.0,0.0
1,5,6,84,70,swap3_f8b7dcce,0.001,0.4,8135,8131,4.0,0.9995082974800246,0.0004917025199754343,0.00024579080971387306
2,5,6,84,70,swap3_f8b7dcce,0.001,0.4,8135,8126,9.0,0.9988936693300552,0.0011063306699448106,0.0003685728389371053
3,5,6,84,70,swap3_f8b7dcce,0.001,0.4,8135,8120,15.0,0.9981561155500922,0.0018438844499077955,0.00047564978879292743
4,5,6,84,70,swap3_f8b7dcce,0.001,0.4,8135,8103,32.0,0.9960663798401966,0.003933620159803364,0.0006940033593900786
5,5,6,84,70,swap3_f8b7dcce,0.001,0.4,8134,8108,26.0,0.9968035406933858,0.0031964593066141633,0.0006258745496268266
6,5,6,84,70,swap3_f8b7dcce,0.001,0.4,8132,8098,34.0,0.9958189867191344,0.00418101328086562,0.0007155373196283822
7,5,6,84,70,swap3_f8b7dcce,0.001,0.4,8131,8091,40.0,0.9950805558971836,0.004919444102816417,0.0007759167989704633
8,5,6,84,70,swap3_f8b7dcce,0.001,0.4,8131,8095,36.0,0.9955725003074652,0.004427499692534753,0.0007362812404649145
9,5,6,84,70,swap3_f8b7dcce,0.001,0.4,8129,8075,54.0,0.993357116496494,0.0066428835035059475,0.0009009744183275126
